Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-7.336397	3.7020066	-1.0	-20.0	7.336397	-74.41899	0.013530262	-74.266624	-74.426834	112000	0.2794998	2.1986332	-0.0074608624	-1.6990354	1.8464885	3.7305298	0.98567754	79.0	14555.026335000992
28	-7.5329566	4.040327	-1.0	-21.0	7.5329566	-75.53518	0.28865102	-71.96786	-75.75102	116000	0.26466188	1.6314251	-0.008050293	-1.1980941	1.8865417	3.8792255	0.9779882	79.0	15141.31552529335
29	-7.2454543	3.8138177	-1.0	-25.0	7.2454543	-76.37918	0.566569	-74.60004	-77.001495	120000	0.25687206	0.84490234	-0.019847736	-0.5293133	1.8183606	3.3017046	0.9740773	79.0	15730.868037223816
30	-7.3290443	3.65922	-1.0	-19.0	7.3290443	-77.01208	0.65043306	-73.73289	-77.78113	124000	0.24196385	0.71566546	-0.021202192	-0.43067834	2.0508716	3.158733	0.96743137	79.0	16322.220933198929
31	-7.5538754	3.9141822	-1.0	-20.0	7.5538754	-77.572685	0.6982692	-75.42871	-78.37668	128000	0.2471781	0.55423534	-0.021762699	-0.3246572	2.0063603	3.2328882	0.9741349	79.0	16908.824239969254
32	-7.2823315	3.950338	-1.0	-18.0	7.2823315	-77.95743	0.7858719	-75.6703	-78.99569	132000	0.21788138	0.49841893	-0.013588443	-0.26234812	1.9723569	3.1675274	0.971858	79.0	17496.94603204727
33	-7.5150375	4.0594454	-1.0	-19.0	7.5150375	-78.34477	0.82357174	-75.984055	-79.451546	136000	0.22584541	0.48289105	-0.016094193	-0.252208	1.9539137	3.3879306	0.9683183	79.0	18082.739342212677
34	-7.819961	4.072589	-1.0	-22.0	7.819961	-78.77397	0.86567193	-76.25137	-79.94873	140000	0.22264539	0.41489375	-0.021077916	-0.19634686	1.942156	3.284298	0.9722543	79.0	18666.658296108246
35	-7.924603	3.9558914	-1.0	-18.0	7.924603	-79.05689	0.90284866	-76.41199	-80.35521	144000	0.23208274	0.44746587	-0.025727645	-0.21460584	2.0021317	3.521434	0.9715606	79.0	19252.744693040848
36	-7.633588	4.1428795	-1.0	-23.0	7.633588	-79.45714	0.8853413	-76.8044	-80.6992	148000	0.2096378	0.4636317	-0.010385901	-0.19606847	1.9616193	3.274902	0.9783116	79.0	19839.620474100113
37	-7.6570883	3.984553	-1.0	-20.0	7.6570883	-79.75209	0.9462438	-76.51311	-81.10847	152000	0.24569297	0.41572747	-0.049108416	-0.1778875	2.0242622	3.18821	0.9650343	79.0	20425.06719326973
38	-7.745631	4.0858927	-1.0	-21.0	7.745631	-79.98527	1.0170857	-76.74799	-81.53315	156000	0.20769028	0.45603347	-0.005133033	-0.1819275	2.0215046	3.4285185	0.97644395	79.0	21010.96955013275
39	-7.9345236	4.275911	-1.0	-20.0	7.9345236	-80.380775	1.0432867	-77.32366	-81.818596	160000	0.22898774	0.4804598	-0.009027749	-0.21405429	1.9945893	3.1022904	0.98010063	79.0	21595.66087412834
40	-7.9403577	4.114227	-1.0	-18.0	7.9403577	-80.65367	1.09327	-77.41903	-82.24431	164000	0.22180413	0.43888035	-0.034273326	-0.18535161	2.1262486	3.172074	0.967912	79.0	22179.316561937332
41	-7.6551723	4.106796	-1.0	-19.0	7.6551723	-80.86188	1.0467608	-77.91981	-82.45191	168000	0.21004687	0.43174073	-0.0110949725	-0.19192776	2.060816	3.0978396	0.97499645	79.0	22765.755717277527
42	-7.52919	4.1588736	-1.0	-22.0	7.52919	-81.15554	1.0847197	-77.91447	-82.727135	172000	0.20817225	0.45993078	-0.009990677	-0.18464261	2.0926142	2.9251094	0.9734797	79.0	23350.77694797516
43	-7.4953094	3.8169262	-1.0	-18.0	7.4953094	-81.37436	1.0507747	-78.1608	-83.039536	176000	0.4309112	0.45222217	-0.23720457	-0.19737363	2.1809754	2.9552689	0.9763634	79.0	23937.96558213234
44	-7.922619	3.8745153	-1.0	-20.0	7.922619	-81.65732	1.0736959	-78.36311	-83.21352	180000	0.20898198	0.36102164	-0.0078374	-0.14375083	2.1995313	3.2457337	0.97580755	79.0	24524.160976171494
45	-7.747573	3.9039896	-1.0	-21.0	7.747573	-81.92475	1.012594	-78.464264	-83.38392	184000	0.21622682	0.3832993	-0.014969498	-0.17144112	2.0746763	3.2300093	0.9675594	79.0	25111.3762922287
46	-7.3406997	3.9415553	-1.0	-18.0	7.3406997	-82.222084	1.0185264	-78.7819	-83.61356	188000	0.23068169	0.3045932	-0.04177378	-0.111033365	2.0670567	3.0481205	0.962635	79.0	25697.09203004837
47	-7.4402986	3.939394	-1.0	-19.0	7.4402986	-82.32571	1.0666353	-79.06251	-83.887085	192000	0.27151906	0.36260062	-0.07248317	-0.15250184	2.089153	3.2282674	0.97355527	79.0	26283.340105056763
48	-7.535849	4.005614	-1.0	-21.0	7.535849	-82.61098	1.0567852	-79.16635	-84.17299	196000	0.21527742	0.41202915	-0.015299931	-0.17864265	2.1292555	3.050619	0.97754526	79.0	26871.196975946426
49	-7.633588	4.009447	-1.0	-20.0	7.633588	-82.92276	0.9883902	-79.416855	-84.30866	200000	0.23941794	0.38643095	-0.015806794	-0.16494513	2.1248455	3.0027204	0.97497696	79.0	27457.747930288315
50	-7.810547	4.1194615	-1.0	-20.0	7.810547	-83.14159	1.0451376	-79.306305	-84.60404	204000	0.21656485	0.26667458	-0.019073129	-0.103869796	2.151649	2.9758794	0.9798954	79.0	28045.998835086823
51	-7.2709093	4.0065026	-1.0	-20.0	7.2709093	-83.228424	1.06824	-79.64684	-84.855576	208000	0.1918578	0.3016161	-0.0029257387	-0.116756216	2.2005377	2.979075	0.9783003	79.0	28631.104418039322
52	-7.355433	3.9519215	-1.0	-18.0	7.355433	-83.441826	1.0600364	-79.92761	-85.05763	212000	0.19281372	0.26636285	-0.0147122	-0.10106498	2.1276557	3.0517206	0.9750214	79.0	29215.701027154922
53	-7.8717947	3.9605217	-1.0	-20.0	7.8717947	-83.6545	1.0229645	-80.2599	-85.205154	216000	0.2421311	0.2971894	-0.053314283	-0.1337961	2.0723941	2.9929066	0.97384125	79.0	29800.80254125595
54	-7.98004	3.8850243	-1.0	-19.0	7.98004	-83.93101	1.0031158	-80.51706	-85.41773	220000	0.19908664	0.3978689	-0.0040781647	-0.16418928	2.1647217	3.2476354	0.97537833	79.0	30383.31174993515
55	-7.5415096	4.020604	-1.0	-18.0	7.5415096	-84.19816	1.0505052	-80.655785	-85.68828	224000	0.21705705	0.33263707	-0.037126347	-0.12892002	2.0723956	3.1380162	0.96884966	79.0	30969.85377907753
56	-7.429368	3.9111452	-1.0	-20.0	7.429368	-84.281876	1.0287786	-80.803085	-85.93352	228000	0.20699741	0.4239453	-0.0075380355	-0.17047346	2.1252122	3.193384	0.97470874	79.0	31554.401329040527
57	-7.785575	4.060078	-1.0	-20.0	7.785575	-84.55712	1.0342748	-81.29233	-86.13292	232000	0.27539474	0.3432436	-0.08502452	-0.13679007	2.0888374	3.1911123	0.97353595	79.0	32138.98565721512
58	-7.4794006	3.992332	-1.0	-19.0	7.4794006	-84.75231	1.0465505	-81.18091	-86.30438	236000	0.20600823	0.3755225	-0.003928408	-0.13591987	2.1521516	3.1767783	0.972701	79.0	32724.797634124756
59	-7.701349	3.9910085	-1.0	-22.0	7.701349	-84.91502	1.0555638	-81.40049	-86.52978	240000	0.20324941	0.33267355	-0.0029072762	-0.112186	2.1258056	3.227837	0.9726856	79.0	33309.847182273865
60	-7.638623	4.01591	-1.0	-21.0	7.638623	-85.02153	1.0755006	-81.89149	-86.74005	244000	0.51766217	0.30933738	-0.3347203	-0.1193174	2.1286955	3.4567747	0.96392286	79.0	33896.48940396309
