Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-4.616628	1.9062074	-1.0	-12.0	4.616628	-30.604963	1.5998138	-23.401684	-34.05509	112000	2.2411346e-08	0.768702	-0.018199855	-0.5378592	nan	0.015035742	0.056	49.0	689.1528618335724
28	-4.5237556	1.9398481	-1.0	-11.0	4.5237556	-31.369106	1.5937455	-24.640152	-34.643368	116000	4.7683717e-08	0.9238864	-0.023472274	-0.62628925	nan	0.015037045	0.055	43.0	716.0883867740631
29	-4.6261573	1.8856945	-1.0	-14.0	4.6261573	-32.077393	1.6167253	-23.881119	-35.539524	120000	4.8160555e-08	0.98161364	-0.018011255	-0.619643	nan	0.015077693	0.05625	20.0	741.3233428001404
30	-4.636891	1.8078673	-1.0	-12.0	4.636891	-32.739162	1.58958	-22.529337	-36.334713	124000	3.403425e-08	0.7121124	-0.017527822	-0.5088997	nan	0.015007218	0.05275	71.0	767.9046280384064
31	-4.4736843	1.8403927	-1.0	-11.0	4.4736843	-33.355545	1.5431492	-26.294216	-36.924145	128000	9.012222e-08	0.774655	-0.017423883	-0.51710796	nan	0.015166827	0.04025	70.0	795.862096786499
32	-4.454343	1.8370804	-1.0	-12.0	4.454343	-34.048336	1.5142542	-28.602114	-37.498238	132000	2.3841857e-09	0.755554	-0.0196937	-0.5092367	nan	0.015143245	0.051	54.0	823.1267547607422
33	-4.55467	1.8591876	-1.0	-12.0	4.55467	-34.841503	1.5156469	-29.517464	-38.106495	136000	2.6226044e-08	0.73173463	-0.016321989	-0.5102389	nan	0.015079824	0.0435	21.0	849.6502647399902
34	-4.454343	1.8778476	-1.0	-11.0	4.454343	-35.51935	1.5326355	-26.424286	-38.824642	140000	2.9563903e-08	0.6892876	-0.016875742	-0.48452306	nan	0.012610106	0.04	79.0	878.1233448982239
35	-4.586009	1.8115169	-1.0	-12.0	4.586009	-36.134758	1.5270599	-26.667692	-39.484028	144000	-1.013279e-08	0.654225	-0.016405879	-0.4549272	nan	0.015137804	0.0395	33.0	903.9164097309113
36	-4.584862	1.8153652	-1.0	-10.0	4.584862	-36.7587	1.527011	-29.58889	-40.106434	148000	5.6266785e-08	0.6025822	-0.01900227	-0.440622	nan	0.015065536	0.04525	75.0	930.8156249523163
37	-4.436182	1.7802655	-1.0	-13.0	4.436182	-37.449715	1.4604905	-31.835224	-40.693333	152000	1.3279914e-07	0.7077333	-0.018169386	-0.47476956	nan	0.015030999	0.03675	32.0	957.7146456241608
38	-4.431264	1.8774065	-1.0	-13.0	4.431264	-38.099445	1.4623545	-32.62088	-41.478413	156000	3.4809112e-08	0.7178107	-0.016176758	-0.45769083	nan	0.015169394	0.04875	16.0	983.9634697437286
39	-4.464286	1.803041	-1.0	-10.0	4.464286	-38.76351	1.4417933	-33.924007	-42.256897	160000	-1.2612342e-07	0.5254376	-0.013379885	-0.38197207	nan	0.01373663	0.034	79.0	1011.2411410808563
40	-4.449388	1.8714075	-1.0	-12.0	4.449388	-39.336285	1.4283899	-30.43349	-42.657005	164000	-1.2969971e-07	0.5687351	-0.01686886	-0.4114924	nan	0.013831247	0.0445	79.0	1040.1513018608093
41	-4.641115	1.866666	-1.0	-13.0	4.641115	-39.966232	1.4459908	-34.027943	-43.148617	168000	-1.2969971e-07	0.6722451	-0.018676363	-0.44700068	nan	0.015118145	0.042	55.0	1066.2706019878387
42	-4.4603353	1.7478932	-1.0	-10.0	4.4603353	-40.49171	1.410278	-33.364037	-43.83558	172000	1.2397766e-08	0.48808345	-0.011916554	-0.37559977	nan	0.015098427	0.03725	61.0	1093.7289009094238
43	-4.475924	1.8938022	-1.0	-16.0	4.475924	-41.174156	1.4069449	-35.73372	-44.24462	176000	-8.8214875e-09	0.7505639	-0.015300668	-0.4795468	nan	0.015451315	0.06575	9.0	1120.000519990921
44	-4.482604	1.8393627	-1.0	-10.0	4.482604	-41.84775	1.3615916	-35.925106	-44.98404	180000	-5.984306e-08	0.49845198	-0.013609182	-0.35013187	nan	0.01160926	0.03775	79.0	1147.7365016937256
45	-4.446051	1.860584	-1.0	-12.0	4.446051	-42.448803	1.3349284	-37.546955	-45.464527	184000	-1.8382073e-07	0.54301417	-0.012786514	-0.37612814	nan	0.015023234	0.041	25.0	1176.4024000167847
46	-4.531746	1.7694852	-1.0	-12.0	4.531746	-42.987633	1.3575796	-36.14599	-46.072353	188000	4.9591065e-08	0.48746517	-0.012941315	-0.34941632	nan	0.0152670955	0.04625	32.0	1203.8262457847595
47	-4.552392	1.8321011	-1.0	-10.0	4.552392	-43.57041	1.3651756	-38.82579	-46.55699	192000	1.0251999e-08	0.5319375	-0.014100309	-0.36934316	nan	0.015169149	0.04025	43.0	1230.3678810596466
48	-4.3907795	1.7528032	-1.0	-12.0	4.3907795	-44.15338	1.3053932	-39.317627	-47.14277	196000	4.9352646e-08	0.49715418	-0.015699415	-0.35501713	nan	0.015101318	0.03275	57.0	1258.4411039352417
49	-4.43459	1.8615137	-1.0	-12.0	4.43459	-44.738	1.3194976	-39.395664	-47.712944	200000	3.71933e-08	0.6074587	-0.012864656	-0.391442	nan	0.015210113	0.0525	11.0	1283.7224209308624
50	-4.492135	1.8182733	-1.0	-14.0	4.492135	-45.34665	1.3134948	-40.60824	-48.402714	204000	3.7670137e-08	0.5300703	-0.013768987	-0.33695194	nan	0.015236129	0.0485	20.0	1309.546452999115
51	-4.436182	1.8714458	-1.0	-12.0	4.436182	-45.89597	1.3480524	-39.47032	-48.92929	208000	1.0967255e-07	0.54679424	-0.015817592	-0.3543963	nan	0.01537938	0.04125	15.0	1338.2570087909698
52	-4.596552	1.8536667	-1.0	-15.0	4.596552	-46.48008	1.377363	-41.199394	-49.7297	212000	5.7935715e-08	0.63294667	-0.013188833	-0.38654616	nan	0.01597218	0.0505	8.0	1369.6417608261108
53	-4.488764	1.756013	-1.0	-9.0	4.488764	-46.88449	1.3375906	-42.11574	-50.514538	216000	2.1457673e-08	0.37773544	-0.0075047547	-0.28267634	nan	0.015030186	0.029	57.0	1397.2093498706818
54	-4.3657207	1.7757719	-1.0	-10.0	4.3657207	-47.47836	1.2826308	-42.36667	-50.81299	220000	3.7431718e-08	0.39946112	-0.014121762	-0.28279683	nan	0.010885553	0.03825	79.0	1426.9481709003448
55	-4.4154696	1.7961848	-1.0	-10.0	4.4154696	-47.99354	1.2480904	-43.375183	-51.141335	224000	4.2438508e-08	0.4222503	-0.015063069	-0.31028467	nan	0.015056869	0.04425	54.0	1456.8782699108124
56	-4.452116	1.8843044	-1.0	-10.0	4.452116	-48.57767	1.3015575	-43.742397	-51.58523	228000	-1.1968612e-07	0.42698562	-0.01416394	-0.30744246	nan	0.015093528	0.0375	29.0	1484.5489497184753
57	-4.5090294	1.7927078	-1.0	-10.0	4.5090294	-49.046406	1.2777967	-43.108982	-52.141132	232000	2.336502e-08	0.42492577	-0.015557617	-0.30672693	nan	0.015019185	0.04025	72.0	1511.8627128601074
58	-4.5306125	1.8256404	-1.0	-13.0	4.5306125	-49.589153	1.3218999	-44.846745	-52.629974	236000	-1.6212464e-08	0.46922433	-0.013821624	-0.31085145	nan	0.015098845	0.04575	20.0	1539.384736776352
59	-4.4052863	1.768189	-1.0	-10.0	4.4052863	-50.04486	1.2542424	-44.236526	-53.270203	240000	2.2172928e-08	0.36156842	-0.012146905	-0.26952195	nan	0.015067919	0.0365	73.0	1567.1032419204712
60	-4.4068356	1.804343	-1.0	-11.0	4.4068356	-50.55747	1.2584878	-45.813267	-53.603867	244000	9.441376e-08	0.47464478	-0.018880876	-0.30988938	nan	0.0151344	0.04425	55.0	1597.1238248348236
61	-4.494382	1.8452708	-1.0	-14.0	4.494382	-51.180218	1.2732143	-46.19384	-54.20401	248000	-9.775162e-09	0.3766427	-0.01894267	-0.26723582	nan	0.012797391	0.04525	79.0	1625.9714608192444
62	-4.436182	1.8926754	-1.0	-13.0	4.436182	-51.643513	1.3097222	-43.55687	-54.683132	252000	-9.512901e-08	0.44622117	-0.017362805	-0.3016623	nan	0.015254207	0.0485	26.0	1653.1980979442596
63	-4.563927	1.8136406	-1.0	-10.0	4.563927	-52.095978	1.281345	-46.957867	-55.310184	256000	-2.5272369e-08	0.39442956	-0.017942239	-0.27052537	nan	0.015004257	0.04675	74.0	1679.5946898460388
64	-4.5340137	1.8037125	-1.0	-12.0	4.5340137	-52.558403	1.2849408	-47.82816	-55.789684	260000	-1.2397766e-08	0.39232147	-0.008121566	-0.27134156	nan	0.015396646	0.03675	10.0	1707.550884962082
